Iteration 244: x = -1.829155, y = -1.829155, f(x, y) = 17.149700
Iteration 245: x = -2.344771, y = -2.344771, f(x, y) = 42.213722
Iteration 246: x = -1.777697, y = -1.777697, f(x, y) = 22.857455
Iteration 247: x = -2.360971, y = -2.360971, f(x, y) = 43.990659
Iteration 248: x = -1.832077, y = -1.832077, f(x, y) = 16.850012
Iteration 249: x = -2.342038, y = -2.342038, f(x, y) = 41.902154
Iteration 250: x = -1.769044, y = -1.769044, f(x, y) = 23.871553
Iteration 251: x = -2.357489, y = -2.357489, f(x, y) = 43.619300
Iteration 252: x = -1.819954, y = -1.819954, f(x, y) = 18.114140
Iteration 253: x = -2.352152, y = -2.352152, f(x, y) = 43.038645
Iteration 254: x = -1.801829, y = -1.801829, f(x, y) = 20.094697
Iteration 255: x = -2.361088, y = -2.361088, f(x, y) = 44.003027
Iteration 256: x = -1.832489, y = -1.832489, f(x, y) = 16.808104
Iteration 257: x = -2.341638, y = -2.341638, f(x, y) = 41.856347
Iteration 258: x = -1.767793, y = -1.767793, f(x, y) = 24.018937
Iteration 259: x = -2.356833, y = -2.356833, f(x, y) = 43.548663
Iteration 260: x = -1.817696, y = -1.817696, f(x, y) = 18.355343
Iteration 261: x = -2.353675, y = -2.353675, f(x, y) = 43.205726
Iteration 262: x = -1.806944, y = -1.806944, f(x, y) = 19.526035
Iteration 263: x = -2.359334, y = -2.359334, f(x, y) = 43.816835
Iteration 264: x = -1.826349, y = -1.826349, f(x, y) = 17.440562
Iteration 265: x = -2.347220, y = -2.347220, f(x, y) = 42.490178
Iteration 266: x = -1.785582, y = -1.785582, f(x, y) = 21.942395
Iteration 267: x = -2.362552, y = -2.362552, f(x, y) = 44.157194
Iteration 268: x = -1.837656, y = -1.837656, f(x, y) = 16.287293
Iteration 269: x = -2.336311, y = -2.336311, f(x, y) = 41.238938
Iteration 270: x = -1.751416, y = -1.751416, f(x, y) = 25.956933
Iteration 271: x = -2.344682, y = -2.344682, f(x, y) = 42.203628
Iteration 272: x = -1.777413, y = -1.777413, f(x, y) = 22.890611
Iteration 273: x = -2.360886, y = -2.360886, f(x, y) = 43.981642
Iteration 274: x = -1.831778, y = -1.831778, f(x, y) = 16.880576
Iteration 275: x = -2.342326, y = -2.342326, f(x, y) = 41.935211
Iteration 276: x = -1.769951, y = -1.769951, f(x, y) = 23.764909
Iteration 277: x = -2.357940, y = -2.357940, f(x, y) = 43.667740
Iteration 278: x = -1.821511, y = -1.821511, f(x, y) = 17.948804
Iteration 279: x = -2.351035, y = -2.351035, f(x, y) = 42.915407
Iteration 280: x = -1.798106, y = -1.798106, f(x, y) = 20.512787
Iteration 281: x = -2.361978, y = -2.361978, f(x, y) = 44.096941
Iteration 282: x = -1.835627, y = -1.835627, f(x, y) = 16.490469
Iteration 283: x = -2.338470, y = -2.338470, f(x, y) = 41.490620
Iteration 284: x = -1.757983, y = -1.757983, f(x, y) = 25.178313
Iteration 285: x = -2.350351, y = -2.350351, f(x, y) = 42.839690
Iteration 286: x = -1.795840, y = -1.795840, f(x, y) = 20.768948
Iteration 287: x = -2.362360, y = -2.362360, f(x, y) = 44.137057
Iteration 288: x = -1.836977, y = -1.836977, f(x, y) = 16.355139
Iteration 289: x = -2.337044, y = -2.337044, f(x, y) = 41.324561
Iteration 290: x = -1.753634, y = -1.753634, f(x, y) = 25.693892
Iteration 291: x = -2.346716, y = -2.346716, f(x, y) = 42.433479
Iteration 292: x = -1.783949, y = -1.783949, f(x, y) = 22.131114
